,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,different-sweep-5,40117,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,4.314226753621142e-11,29,0.4946422278881073,0,4.1592254638671875,4,-0.03790648654103279,1,0.5,1,0.5,1,0.5,0,0,0,1,1,0,0,1
1,ruby-sweep-3,86006,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,5.364954314135417e-11,13,0.48704248666763306,0,4.898697853088379,41,-0.03790648654103279,1,0.5,1,0.5,1,0.5,0,0,0,1,1,0,0,1
2,peachy-sweep-4,36833,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,1.5629905356084883e-11,17,0.5141278505325317,0,4.449411392211914,9,-0.03790648654103279,1,0.5,1,0.5,1,0.5,0,0,0,1,1,0,0,1
3,autumn-sweep-2,74782,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,7.7463955389101e-12,25,0.5158225893974304,0,4.489513874053955,11,-0.03790648654103279,1,0.5,1,0.5,1,0.5,0,0,0,1,1,0,0,1
4,fine-sweep-1,60742,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,7.098325833371222e-12,25,0.5100088119506836,2,4.769565582275391,21,-0.03790648654103279,1,0.5,1,0.5,1,0.5,0,0,0,1,1,0,0,1
