,name,seed_everything,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,test_prompt_length,max_pred_length,lr,layer_norm_eps,adversarial_training,max_length,batch_size,max_val_accuracy,max_val_accuracy_step,min_train_loss,min_train_loss_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,as_before_bs_accuracy4min_val_loss,same_as_bs_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,ood_as_before_bs_accuracy4min_val_loss,ood_as_before_bs_completion_accuracy4min_val_loss,ood_same_as_bs_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,sos_as_before_bs_accuracy4min_val_loss,sos_same_as_bs_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss
17,balmy-sweep-33,43247,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,55,0.022373056039214134,242,0.021221816539764404,123,-0.016684670001268387,123,1,1.0,1.0,0.032258063554763794,1.0,0.3629032075405121,0,0.0,0.0,0.0
18,polar-sweep-32,19408,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,119,0.022506706416606903,256,0.02119321934878826,135,-0.01671326719224453,135,1,1.0,1.0,0.02500000223517418,1.0,0.4166666865348816,0,0.0,0.0,0.0
19,earthy-sweep-31,7436,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.994437038898468,138,0.022328555583953857,256,0.021980728954076767,138,-0.015925757586956024,138,1,1.0,1.0,0.017241379246115685,1.0,0.4396551847457886,0,0.0,0.0,0.0
20,colorful-sweep-30,90089,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,56,0.02137954905629158,497,0.020415721461176872,235,-0.01749076507985592,235,1,1.0,1.0,0.010526316240429878,1.0,0.4736842215061188,0,0.0,0.0,0.0
21,vibrant-sweep-29,56140,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,107,0.021466368809342384,485,0.020825568586587906,339,-0.017080917954444885,339,1,1.0,1.0,0.008474576286971569,1.0,0.508474588394165,0,0.0,0.0,0.0
22,fast-sweep-28,65642,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,62,0.021531302481889725,487,0.020683012902736664,215,-0.017223473638296127,215,1,1.0,1.0,0.017241379246115685,1.0,0.42241379618644714,0,0.0,0.0,0.0
23,genial-sweep-27,75382,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,101,0.02159370481967926,463,0.0209836196154356,206,-0.01692286692559719,206,1,1.0,1.0,0.01666666753590107,1.0,0.40833336114883423,0,0.0,0.0,0.0
24,amber-sweep-26,97900,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,63,0.021684100851416588,480,0.021008988842368126,310,-0.016897497698664665,310,1,1.0,1.0,0.008771929889917374,1.0,0.4385964870452881,0,0.0,0.0,0.0
25,exalted-sweep-25,19973,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,121,0.02241343818604946,283,0.021354813128709793,141,-0.016551673412322998,141,1,1.0,1.0,0.017543859779834747,1.0,0.42105263471603394,0,0.0,0.0,0.0
26,bright-sweep-24,47131,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,177,0.02182691916823387,499,0.021032100543379784,305,-0.016874385997653008,305,1,1.0,1.0,0.017241379246115685,1.0,0.42241379618644714,0,0.0,0.0,0.0
